Suburb,Population
CARAPOOEE,60
CARAPOOEE WEST,40
CARAPOOK,67
CARBOOR,97
CARDIGAN,1064
CARDIGAN VILLAGE,957
CARDINIA,342
CARDROSS,847
CARGERIE,38
CARINA,26
CARINGAL,16
CARISBROOK,1192
CARLISLE RIVER,168
CARLSRUHE,382
CARLTON,16055
CARLTON NORTH,6177
CARLYLE,82
CARNEGIE,17909
CARNGHAM,171
CAROLINE SPRINGS,24488
CARPENDEIT,115
CARRAJUNG,100
CARRAJUNG LOWER,129
CARRAJUNG SOUTH,42
CARRANBALLAC,43
CARRON,18
CARRUM,4239
CARRUM DOWNS,21976
CARWARP,68
CASHMORE,197
CASSILIS,21
CASTELLA,257
CASTERTON,1673
CASTLE CREEK,85
CASTLE DONNINGTON,139
CASTLEMAINE,7506
CATANI,297
CATHCART,110
CATHKIN,27
CATUMNAL,14
CAULFIELD,5748
CAULFIELD EAST,1293
CAULFIELD NORTH,16903
CAULFIELD SOUTH,12328
CAVEAT,59
CAVENDISH,366
CERES,266
CHADSTONE,9552
CHANDLERS CREEK,0
CHAPEL FLAT,0
CHAPPLE VALE,42
CHARAM,42
CHARLEMONT,2612
CHARLEROI,82
CHARLTON,1095
CHATSWORTH,49
CHELSEA,8347
CHELSEA HEIGHTS,5393
CHELTENHAM,23992
CHEPSTOWE,60
CHEROKEE,68
CHERRYPOOL,3
CHESHUNT,213
CHESHUNT SOUTH,0
CHESNEY VALE,204
CHETWYND,85
CHEWTON,763
CHEWTON BUSHLANDS,50
CHILDERS,91
CHILLINGOLLAH,3
CHILTERN,1580
CHILTERN VALLEY,77
CHINANGIN,3
CHINKAPOOK,17
CHINTIN,111
CHIRNSIDE PARK,11779
CHIRRIP,8
CHOCOLYN,61
CHRISTMAS HILLS,365
CHUM CREEK,981
CHURCHILL,4924
CHURCHILL ISLAND,0
CHUTE,13
CLARENDON,163
CLARETOWN,35
CLARINDA,7441
CLARKEFIELD,303
CLARKES HILL,75
CLAYTON,18988
CLAYTON SOUTH,13381
CLEAR LAKE,57
CLEMATIS,352
CLIFTON CREEK,252
CLIFTON HILL,6606
CLIFTON SPRINGS,7646
CLONBINANE,347
CLOVER FLAT,15
CLOVERLEA,178
CLUB TERRACE,25
CLUNES,1844
CLYDE,11177
CLYDE NORTH,31681
CLYDEBANK,133
CLYDESDALE,62
COALVILLE,55
COBAINS,245
COBAW,104
COBBANNAH,0
COBBERAS,0
COBBLEBANK,3601
COBDEN,1804
COBRAM,6148
COBRAM EAST,232
COBRICO,72
COBUNGRA,58
COBURG,26574
COBURG NORTH,8327
COCAMBA,4
COCHRANES CREEK,9
COCKATOO,4408
COCOROC,0
CODRINGTON,37
COGHILLS CREEK,80
COHUNA,2415
COIMADAI,409
COKUM,0
COLAC,9243
COLAC COLAC,61
COLAC EAST,168
COLAC WEST,89
COLBINABBIN,285
COLBROOK,41
COLDSTREAM,2199
COLERAINE,1062
COLIGNAN,305
COLLINGWOOD,9179
COMBIENBAR,7
CONCONGELLA,146
CONDAH,104
CONGUPNA,620
CONNEWARRE,953
CONNEWIRRICOO,23
COOJAR,38
COOLAROO,3193
COOMA,94
COOMBOONA,134
COOMOORA,308
COONGULLA,229
COONOOER BRIDGE,30
COONOOER WEST,18
COORIEMUNGLE,311
COPE COPE,42
CORA LYNN,220
CORACK,33
CORACK EAST,10
CORAGULAC,171
CORAL BANK,88
CORINDHAP,131
CORINELLA,1181
CORIO,15497
CORNDALE,27
CORNELLA,43
CORNISHTOWN,94
CORONET BAY,1108
COROP,161
COROROOKE,358
CORRINGLE,17
