Suburb,Population
TONGALA,1973
TONGHI CREEK,5
TONGIO,50
TONIMBUK,229
TOOAN,23
TOOBORAC,319
TOOLAMBA,822
TOOLAMBA WEST,110
TOOLANGI,366
TOOLERN VALE,818
TOOLLEEN,221
TOOLOME,0
TOOLONDO,74
TOOLONG,88
TOOMBON,0
TOONGABBIE,1085
TOORA,713
TOORA NORTH,107
TOORADIN,1722
TOORAK,12817
TOORLOO ARM,509
TOORONGO,0
TOOTGAROOK,3178
TORQUAY,18534
TORRITA,51
TORRUMBARRY,257
TORWOOD,49
TOSTAREE,23
TOTTENHAM,3
TOTTINGTON,5
TOURELLO,46
TOWAN,13
TOWANINNY,4
TOWANINNY SOUTH,0
TOWER HILL,83
TOWONG,143
TOWONG UPPER,37
TRAFALGAR,4349
TRAFALGAR EAST,401
TRAFALGAR SOUTH,305
TRAGOWEL,83
TRARALGON,26907
TRARALGON EAST,1780
TRARALGON SOUTH,553
TRAVANCORE,2116
TRAWALLA,140
TRAWOOL,90
TRAYNORS LAGOON,22
TREMONT,69
TRENTHAM,1382
TRENTHAM EAST,181
TRESCO,162
TRESCO WEST,153
TRIDA,87
TRUGANINA,36305
TUBBUT,13
TUERONG,357
TULKARA,9
TULLAMARINE,6733
TUNGAMAH,449
TUROAR,8
TURRIFF,30
TURRIFF EAST,7
TURTONS CREEK,33
TUTYE,21
TYAAK,85
TYABB,3449
TYENNA,4
TYERS,893
TYLDEN,645
TYNONG,523
TYNONG NORTH,440
TYNTYNDER,157
TYNTYNDER SOUTH,250
TYRENDARRA,198
TYRENDARRA EAST,19
TYRRELL,16
TYRRELL DOWNS,9
ULLINA,25
ULLSWATER,47
ULTIMA,173
ULTIMA EAST,0
ULUPNA,17
UNDERA,450
UNDERBOOL,215
UPOTIPOTPON,56
UPPER FERNTREE GULLY,3417
UPPER GUNDOWRING,120
UPPER LURG,107
UPPER PLENTY,415
UPPER RYANS CREEK,40
UPTON HILL,29
UPWEY,6818
VALENCIA CREEK,187
VASEY,45
VAUGHAN,55
VECTIS,184
VENTNOR,982
VENUS BAY,904
VERMONT,10993
VERMONT SOUTH,11954
VERVALE,44
VESPER,50
VICTORIA POINT,16
VICTORIA VALLEY,65
VIEWBANK,7030
VINIFERA,163
VIOLET TOWN,936
VITE VITE,37
VITE VITE NORTH,32
W TREE,47
WAAIA,420
WAANYARRA,57
WAARRE,0
WABONGA,0
WAGGARANDALL,52
WAHGUNYAH,1061
WAHRING,88
WAIL,44
WAIREWA,67
WAITCHIE,43
WAL WAL,37
WALDARA,677
WALHALLA,35
WALHALLA EAST,0
WALKERVILLE,130
WALKERVILLE NORTH,5
WALKERVILLE SOUTH,13
WALLACE,227
WALLACEDALE,94
WALLAGARAUGH,0
WALLALOO,11
WALLALOO EAST,12
WALLAN,15004
WALLINDUC,42
WALLINGTON,1515
WALLUP,28
WALMER,262
WALPA,157
WALPEUP,171
WALWA,191
WANDANA HEIGHTS,2195
WANDELLA,67
WANDILIGONG,522
WANDIN EAST,408
WANDIN NORTH,3132
WANDO BRIDGE,41
WANDO VALE,96
WANDONG,1477
WANDOWN,0
WANGANDARY,217
WANGARABELL,8
WANGARATTA,19214
WANGARATTA SOUTH,550
WANGIE,11
WANGOOM,237
WANNON,124
WANTIRNA,14237
WANTIRNA SOUTH,20754
WARANGA SHORES,314
WARATAH BAY,48
WARBURTON,2020
WAREEK,72
WARGAN,53
WARMUR,31
WARNCOORT,146
WARNE,13
WARNEET,565
WARRABKOOK,42
WARRACKNABEAL,2359
WARRAGUL,19856
WARRAGUL SOUTH,280
WARRAGUL WEST,33
WARRAK,68
WARRANDYTE,5541
WARRANDYTE SOUTH,671
WARRANWOOD,4820
WARRAYURE,50
WARRENBAYNE,144
WARRENHEIP,721
WARRENMANG,16
WARRION,204
WARRNAMBOOL,31308
WARROCK,46
WARRONG,77
WARTOOK,88
WATCHEM,124
WATCHEM WEST,29
WATCHUPGA,43
WATERFORD PARK,217
WATERHOLES,12
WATERLOO,122
WATERWAYS,2422
WATSONIA,5352
WATSONIA NORTH,3799
WATSONS CREEK,58
WATTLE BANK,250
WATTLE CREEK,0
WATTLE FLAT,104
WATTLE GLEN,1911
WATTLE HILL,11
WAUBRA,308
WAURN PONDS,4956
WAYGARA,20
WEATHERBOARD,52
WEDDERBURN,951
WEDDERBURN JUNCTION,20
WEE WEE RUP,31
WEEAPROINAH,15
WEERING,62
WEERITE,121
WEHLA,41
WEIR VIEWS,4348
WELLSFORD,144
WELSHMANS REEF,210
WELSHPOOL,361
WEMEN,128
WENDOUREE,10376
WENSLEYDALE,95
WENTWORTH,0
WERNETH,66
WERONA,43
WERRIBEE,50027
WERRIBEE SOUTH,2392
WERRIMULL,97
WESBURN,1052
WEST BENDIGO,378
WEST CREEK,113
WEST FOOTSCRAY,11729
WEST MELBOURNE,8025
WEST WODONGA,14794
WESTBURY,163
WESTBY,27
WESTMEADOWS,6502
WESTMERE,62
WHANREGARWEN,130
WHARPARILLA,483
WHEATSHEAF,252
WHEELERS HILL,20652
WHIPSTICK,18
WHIRILY,25
WHITE HILLS,3620
WHITEHEADS CREEK,347
WHITELAW,30
WHITFIELD,220
WHITLANDS,37
WHITTINGTON,3990
WHITTLESEA,6117
WHOOREL,25
WHOROULY,383
WHOROULY EAST,92
WHOROULY SOUTH,64
WHROO,45
WICKLIFFE,123
WILBY,192
WILD DOG VALLEY,78
WILDWOOD,244
WILKUR,28
WILLANGIE,35
WILLATOOK,53
WILLAURA,439
WILLAURA NORTH,33
WILLENABRINA,17
WILLIAMS LANDING,9448
WILLIAMSTOWN,14407
WILLIAMSTOWN NORTH,1622
WILLOW GROVE,654
WILLOWMAVIN,241
WILLOWVALE,10
WILLUNG,77
WILLUNG SOUTH,146
WILSONS HILL,88
WILSONS PROMONTORY,16
WIMBLEDON HEIGHTS,421
WINCHELSEA,2456
WINCHELSEA SOUTH,171
WINDERMERE,96
WINDSOR,7273
WINGAN RIVER,4
WINGEEL,26
WINJALLOK,18
WINLATON,0
WINNAMBOOL,8
WINNAP,14
WINNINDOO,127
WINSLOW,436
WINTER VALLEY,3440
WINTON,103
WINTON NORTH,8
WIRRATE,3
WISELEIGH,177
WODONGA,20259
WOLLERT,24407
WOMBAT CREEK,26
WOMBELANO,49
WON WRON,196
WONGA,44
WONGA PARK,3843
WONGARRA,47
WONGUNGARRA,0
WONNANGATTA,0
WONTHAGGI,5215
WONWONDAH,114
WONYIP,39
WOOD WOOD,91
WOODEND,6732
WOODEND NORTH,315
WOODFIELD,62
WOODFORD,436
WOODGLEN,52
WOODHOUSE,34
WOODLEIGH,126
WOODS POINT,33
WOODSIDE,374
WOODSIDE BEACH,114
WOODSTOCK,150
WOODSTOCK ON LODDON,36
WOODSTOCK WEST,45
WOODVALE,556
WOOL WOOL,55
WOOLAMAI,245
WOOLENOOK,0
WOOLSHED FLAT,13
WOOLSTHORPE,364
WOOMELANG,191
WOORAGEE,342
WOORARRA EAST,43
WOORARRA WEST,48
WOOREEN,91
WOORI YALLOCK,2964
WOORINEN,262
WOORINEN NORTH,94
WOORINEN SOUTH,404
WOORNDOO,160
WOOROONOOK,26
WOOSANG,12
WOOTONG VALE,32
WORROWING,0
WRATHUNG,0
WRIXON,0
WROXHAM,0
WUK WUK,86
WULGULMERANG,18
WULGULMERANG EAST,12
WULGULMERANG WEST,0
WUNGHNU,326
WURDIBOLUC,147
WURRUK,1177
WY YUNG,1940
WYCHEPROOF,610
WYCHEPROOF SOUTH,6
WYCHITELLA,29
WYCHITELLA NORTH,18
WYE RIVER,67
WYELANGTA,40
WYNDHAM VALE,20518
WYUNA,278
WYUNA EAST,106
YAAPEET,75
YABBA NORTH,104
YABBA SOUTH,32
YACKANDANDAH,2008
YALCA,222
YALLA-Y-POORA,13
YALLAMBIE,4161
YALLOURN,143
YALLOURN NORTH,1511
YALMY,0
YAMBUK,284
YAMBUNA,109
YAN YEAN,246
YANAC,69
YANAKIE,283
YANDO,45
YANDOIT,181
YANDOIT HILLS,44
YANGERY,113
YANGOURA,0
YANNATHAN,272
YAPEEN,272
YARCK,194
YARPTURK,63
YARRA GLEN,3012
YARRA JUNCTION,2875
YARRABERB,17
YARRAGON,1893
YARRAGON SOUTH,204
YARRAM,2136
YARRAMBAT,1602
YARRAVILLE,15636
YARRAWALLA,78
YARRAWONGA,8661
YARRAWONGA SOUTH,15
YARROWEYAH,551
YATCHAW,35
YAWONG HILLS,5
YEA,1789
YELLINGBO,582
YELTA,325
YENDON,320
YEO,124
YEODENE,107
YERING,138
YEUNGROON,34
YEUNGROON EAST,11
YIELIMA,93
YINNAR,1021
YINNAR SOUTH,675
YORK PLAINS,0
YOUANMITE,56
YOUARANG,34
YULECART,128
YUNDOOL,52
YUROKE,123
YUULONG,49
ZEERUST,147
ZUMSTEINS,0
NO USUAL ADDRESS,9089
MIGRATORY - OFFSHORE - SHIPPING,38
