LOCALITY,cafe_count,Population,cafe_density
WATERWAYS,1,2422,0.41288191577208916
WERRIBEE SOUTH,1,2392,0.4180602006688963
RAVENHALL,3,2295,1.3071895424836601
JACANA,1,2187,0.45724737082761774
BAXTER,2,2166,0.9233610341643582
CREMORNE,9,2158,4.170528266913809
TRAVANCORE,1,2116,0.4725897920604915
DEEPDENE,2,2101,0.9519276534983341
TECOMA,1,2064,0.4844961240310077
BROOKLYN,1,1979,0.5053057099545225
HUNTINGDALE,3,1949,1.539250897896357
WATTLE GLEN,1,1911,0.5232862375719519
OLINDA,5,1773,2.8200789622109417
BELGRAVE SOUTH,1,1670,0.5988023952095808
YARRAMBAT,2,1602,1.2484394506866416
RIPPONLEA,2,1532,1.3054830287206267
KALLISTA,3,1418,2.1156558533145278
BELGRAVE HEIGHTS,1,1398,0.7153075822603719
CAULFIELD EAST,7,1293,5.413766434648105
KALORAMA,1,1277,0.7830853563038371
MOUNT DANDENONG,1,1271,0.7867820613690008
KANGAROO GROUND,1,1208,0.8278145695364238
SASSAFRAS,3,970,3.092783505154639
KOOYONG,1,842,1.187648456057007
BURNLEY,1,794,1.2594458438287153
BANGHOLME,2,749,2.67022696929239
SHERBROOKE,2,294,6.802721088435374
DANDENONG SOUTH,23,125,184.0
LAVERTON NORTH,4,119,33.61344537815126
SOUTH WHARF,4,71,56.33802816901409
TREMONT,1,69,14.492753623188406
MELBOURNE AIRPORT,22,64,343.75
WATSONS CREEK,1,58,17.241379310344826
MOORABBIN AIRPORT,8,26,307.69230769230774
BRAESIDE,7,25,280.0
ESSENDON FIELDS,2,13,153.84615384615387
